product,v_title,v_videoId,v_channelTitle,v_publishTime,v_description,v_thumbnail,c_id,c_parentId,c_author,c_published_at,c_updated_at,c_like_count,c_text
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,Ugz1VEBUjXHRrSx8JBR4AaABAg,,otwism8184,2021-02-03T00:04:59Z,2021-02-03T00:04:59Z,15624,"*at the start of the movie*
- Dude, she needs a therapist.
*at the end of the movie*
- Dude.. I need a therapist..."
Midsommar (2019) Movie,That Midsommar scene but it&#39;s even more disturbing,SCDLBLPOzj8,Pepe Rico Piqué,2020-04-06T16:50:55Z,I'm shit doing masks. Watch with headphones for an enhanced horror experience. Watch my The Lighthouse Spongebob video ...,https://i.ytimg.com/vi/SCDLBLPOzj8/default.jpg,UgwUZ63WcG24JFo5v-h4AaABAg,,moviemaster8510,2020-04-21T14:42:03Z,2020-04-21T14:42:03Z,15364,"The fact that we don’t see what she sees, Ari would be proud."
Midsommar (2019) Movie,Midsommar (2019) KILL COUNT,uW9fbnLgkpI,Dead Meat,2021-06-18T13:00:33Z,MERCH: http://deadmeatstore.com Buy Midsommar on... DVD ▻ https://amzn.to/3qin2ny BluRay ▻ https://amzn.to/2SmcMOE ...,https://i.ytimg.com/vi/uW9fbnLgkpI/default.jpg,UgxEJ_7NEWfn-bKbXNZ4AaABAg,,ajromero3692,2021-06-18T14:36:27Z,2021-06-18T14:36:27Z,15349,"Can we take a moment to appreciate that James recognized that Christian was sexually assaulted and it was a creepy scene? I hear too many people say that the ""mating ritual"" scene was funny but it's actually really disturbing. I have no choice but to stan anyone who refuses to play into the ""men being sexually assaulted is funny"" trope. James is the best :)"
Midsommar (2019) Movie,Midsommar Deleted Scene (Director&#39;s Cut),TScihXPhQGk,Shelly's Creation,2021-05-17T18:13:35Z,"FlorencePugh #AriAster Film: Midsommar (2019) Director: Ari Aster Cast: Florence Pugh, Jack Reynor NO COPYRIGHT ...",https://i.ytimg.com/vi/TScihXPhQGk/default.jpg,UgyVRVULZHtQOViaRzt4AaABAg,,delpicsla65,2022-01-05T17:12:13Z,2022-01-05T17:12:13Z,15165,"This scene solidifies Dani’s sanity, I think if they kept it in the movie it wouldn’t make sense for her to so easily succumb to the cult."
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,Ugz42X58PAZOSxcppyJ4AaABAg,,trippndix9767,2019-10-28T00:41:58Z,2019-10-28T00:41:58Z,15014,"Movie description: after a woman loses her family in a tragic accident, she finds a new home that greets her with loving arms"
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,UgzkYklwN8zlsXvvWkV4AaABAg,,ShadowDolphn,2019-07-24T06:24:26Z,2019-07-24T06:24:26Z,14744,Homie had the worst post nut clarity moment in the history of mankind.
Midsommar (2019) Movie,Midsommar (2019) KILL COUNT,uW9fbnLgkpI,Dead Meat,2021-06-18T13:00:33Z,MERCH: http://deadmeatstore.com Buy Midsommar on... DVD ▻ https://amzn.to/3qin2ny BluRay ▻ https://amzn.to/2SmcMOE ...,https://i.ytimg.com/vi/uW9fbnLgkpI/default.jpg,UgwQwPtDMkrWORU1Bpp4AaABAg,,BlookyBot101,2021-08-23T17:20:52Z,2021-08-23T17:20:52Z,14306,I think James is one of the only horror film reviewers that actually acknowledges that Christian was indeed raped during that scene. Everyone else calls it cheating and it bugs the hell out of me and is such a damaging mentality to have. Thank you for understanding the scene I really appreciate it <3
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,UgwXWcMmmYjYKRHbqb14AaABAg,,c.j327,2019-12-27T22:42:22Z,2019-12-27T22:44:06Z,14275,"Ngl I would’ve been gone the second I saw the community; since when has a large group of white people dressed in white robes, in a field ...with torches ever been a good sign? "
Midsommar (2019) Movie,MIDSOMMAR (2019) Story + Ending Explained,3AK0aN1m66s,FoundFlix,2019-07-21T02:00:00Z,"midsommarmovie #endingexplained In Midsommar, writer/director Ari Aster's follow up to Hereditary, a group of college kids ...",https://i.ytimg.com/vi/3AK0aN1m66s/default.jpg,UgxZKW_LQqG1np-yiUh4AaABAg,,CalHazBigNut,2020-05-25T01:57:52Z,2020-05-25T01:57:52Z,14236,literally just realised what pelle meant by his parents dying in a fire now holy shit
Midsommar (2019) Movie,MIDSOMMAR | Official Trailer HD | A24,1Vnghdsjmd0,A24,2019-05-14T13:00:03Z,"SUBSCRIBE: http://bit.ly/A24subscribe THIS SUMMER, LET THE FESTIVITIES BEGIN. From writer/director Ari Aster (Hereditary) ...",https://i.ytimg.com/vi/1Vnghdsjmd0/default.jpg,Ugz6HDEMV-EPtFZwetZ4AaABAg,,daniruj,2019-11-10T02:39:41Z,2020-10-10T12:18:01Z,13849,"This movie just shows you that you don't need the darkness to create a good horror (edit: psychological thriller) movie.
edit:- I know there's a lot of people who dislike this movie and that's totally fine, this is purely my opinion and what blew me away was the sophisticated symbolism, use of colour and Pugh's acting."
